NIF;NOMBRE FONDO;NUMERO REGISTRO CNMV;GESTORA;DEPOSITARIO;AUDITOR
V44567998;  MIRALTA PULSAR II, FIL ;113; 1) MIRALTA ASSET MANAGEMENT SGIIC, SAU        ;CACEIS BANK SPAIN S.A.        ;ERNST & YOUNG (EY)
V44576684;  SABADELL GARANTIA FIJA , FI ;5751; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S. L.
V44577617;  BAELO DIVIDENDO CRECIENTE FI ;5759; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V44581064;  FONDO NARANJA RENTABILIDAD  II, FI ;5745; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V44624138;  FMAS ALFA, FIL ;111; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;Deloitte, S.L.
V44633535;  LORETO PREMIUM RENTA FIJA CORTO PLAZO, FI ;5738; 1) LORETO INVERSIONES, SGIIC, SA        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA; 
V44637346;  MUTUAFONDO BONOS SUBORDINADOS V, FI ;5748; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V44702165;  FONDO NARANJA MONETARIO, FI ;5769; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V44730430;  CAIXABANK RENTA FIJA CORTO PLAZO, FI ;5739; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V44737922;  FONDO NARANJA RENTABILIDAD  V, FI ;5755; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V44746501;  IBERCAJA CORTO PLAZO EMPRESAS , FI ;5740; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V44811974;  MUTUAFONDO  II, FI ;5756; 1) MUTUACTIVOS, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L
V44933661;  BBVA BP BONOS , FI ;5754; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V44955052;  DB CORTO PLAZO, FI ;5770; 1) DEUTSCHE WEALTH MANAGEMENT SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;ERNST & YOUNG S.L.
V44955169;  IBERCAJA DEUDA ALTO RENDIMIENTO , FI ;5765; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V44955292;  IBERCAJA ESPAÑA-ITALIA JUNIO , FI ;5757; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V48412142;  KUTXABANK GESTION ACTIVA RENDIMIENTO, FI ;170; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V48412159;  KUTXABANK RENTA GLOBAL, FI ;171; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V48518252;  FONENGIN ISR, FI ;354; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE & TOUCHE S.A.
V48641013;  CAJA INGENIEROS RENTA, FI ;553; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE  S.L.
V48716062;  CAJA INGENIEROS FONDTESORO CORTO PLAZO, FI ;2512; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE S.L.
V48768956;  KUTXABANK BOLSA, FI ;621; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V48768964;  KUTXABANK GESTION ACTIVA PATRIMONIO, FI ;620; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V48941942;  GCO MIXTO, FI ;1285; 1) GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC        ;BANCO BILBAOVIZCAYA ARGENTARIA, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V48941959;  GCO INTERNACIONAL, FI ;1284; 1) GRUPO CATALANA OCCIDENTE GESTION DE ACTIVOS, S.A., SGIIC        ;BANCO BILBAOVIZCAYA ARGENTARIA, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V48956775;  KUTXABANK BONO, FI ;1388; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V48972202;  CAJA INGENIEROS BOLSA EURO PLUS, FI ;1469; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE, S.L.
V48983019;  KUTXABANK BOLSA INTERNACIONAL, FI ;1547; 1) KUTXABANK GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V50610633;  IBERCAJA BOLSA ESPAÑA, FI ;539; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhausecoopers S.L
V50680859;  IBERCAJA SELECCION RENTA FIJA, FI ;676; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L.
V50724236;  IBERCAJA BOLSA INTERNACIONAL, FI ;1126; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L
V50731199;  IBERCAJA HORIZONTE, FI ;1200; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L.
V50731207;  IBERCAJA EMERGENTES, FI ;1287; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L
V50777689;  IBERCAJA PLUS, FI ;1673; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L.
V50781152;  IBERCAJA BOLSA EUROPA, FI ;1686; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V50805373;  IBERCAJA GESTIÓN EVOLUCIÓN, FI ;1892; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S.L.
V50821511;  IBERCAJA TECNOLOGICO, FI ;1960; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L
V50821529;  IBERCAJA SANIDAD, FI ;1959; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V50824424;  IBERCAJA SOSTENIBLE Y SOLIDARIO, FI ;1972; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V50831627;  IBERCAJA JAPON, FI ;2025; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L
V50836840;  IBERCAJA FINANCIERO, FI ;2075; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L
V50843762;  IBERCAJA HIGH YIELD, FI ;2140; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L
V50847839;  IBERCAJA NEW ENERGY, FI ;2178; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V50847847;  IBERCAJA INFRAESTRUCTURAS, FI ;2243; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Ernst & Young, S. L.
V50892694;  IBERCAJA GESTIÓN AUDAZ, FI ;2452; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers  S.L.
V50892728;  IBERCAJA GESTIÓN CRECIMIENTO, FI ;2456; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L.
V50933217;  IBERCAJA BOLSA USA, FI ;2605; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L
V50966621;  IBERCAJA RENTA FIJA , FI ;2755; 1) IBERCAJA GESTION, SGIIC, S.A.        ;CECABANK, S.A.        ;Pricewaterhousecoopers S.L.
V53321915;  SABADELL EMERGENTE MIXTO FLEXIBLE, FI ;1735; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V58118886;  GESIURIS IURISFOND, FI ;11; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V58224353;  CAIXABANK BOLSA INDICE EURO, FI ;32; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V58242751;  GVC GAESCO RENTA FIJA, FI ;16; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS AUDITORES S.L.
V58303140;  EDM-AHORRO, FI ;47; 1) EDM GESTION, SOCIEDAD ANONIMA, S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PricewaterhouseCoopers Auditores SL
V58303157;  EDM-INVERSION, FI ;46; 1) EDM GESTION, SOCIEDAD ANONIMA, S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PricewaterhouseCoopers Auditores SL
V58379918;  MERCHFONDO, FI ;62; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V58379926;  MERCH-UNIVERSAL, FI ;64; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V58379934;  MERCHRENTA, FI ;63; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V58430059;  ARQUIA BANCA INCOME RVMI, FI ;88; 1) ARQUIGEST, S.A., S.G.I.I.C.        ;ARQUIA BANK, S.A.        ;KPMG AUDITORES SL
V58499625;  CS DIRECTOR GROWTH, FI ;100; 1) CREDIT SUISSE GESTION, S.G.I.I.C., S.A.        ;CREDIT SUISSE AG, SUCURSAL ENESPAÑA        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V58559725;  FONMASTER , FI ;119; 1) MDEF GESTEFIN, S.A.U., SGIIC  (SOCIEDAD UNIPERSONAL)        ;BNP PARIBAS S.A.,SUCURSAL EN ESPAÑA        ;MOORE STEPHENS ADDVERIS AUDITORES Y CONSULTORES, S.L.P.
V58756206;  MERCH-FONTEMAR, FI ;146; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V59188052;  GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI ;3659; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE S.L.
V59360396;  SABADELL URQUIJO PATRIMONIO PRIVADO , FI ;221; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V59382101;  MERCHBANC FONDTESORO CORTO PLAZO, FI ;3671; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V59506998;  DP RENTA FIJA FI ;209; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;PricewaterhouseCoopers Auditores S.L.
V60026564;  SABADELL DOLAR FIJO, FI ;326; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V60070190;  DP FLEXIBLE GLOBAL FI ;321; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;PricewaterhouseCoopers Auditores S.L.
V60169638;  FONDGUISSONA, FI ;394; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;DEUTSCHE BANK, SOCIEDAD ANONIMAESPAÑOLA        ;DELOITTE, S.L.
V60180791;  IM  RENTA, FI ;373; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS Auditores, S.L.
V60215688;  GESINTER FLEXIBLE STRATEGY FI ;393; 1) GESINTER, S.G.I.I.C., S.A.        ;CACEIS BANK SPAIN S.A.        ;VIR AUDIT S.L.P.
V60280799;  FINANCIALFOND, FI ;400; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS auditores, S.L.
V60280807;  CS DURACION -, FI ;3687; 1) CREDIT SUISSE GESTION, S.G.I.I.C., S.A.        ;CREDIT SUISSE AG, SUCURSAL ENESPAÑA        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V60495454;  GVCGAESCO BOLSALIDER, FI ;487; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE, S.L.
V60519865;  BESTINVER BOLSA, FI ;502; 1) BESTINVER GESTION, S.A., S.G.I.I.C.        ;CACEIS BANK SPAIN S.A.        ;KPMGauditores, s.l.
V60647633;  EDM RENTA, FI ;530; 1) EDM GESTION, SOCIEDAD ANONIMA, S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PricewaterhouseCoopers Auditores SL
V60685922;  GVCGAESCO SMALL CAPS, FI ;567; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE, S.L.
V61009932;  BONA-RENDA, FI ;655; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS, S.L.
V61013819;  GVCGAESCO CONSTANTFONS, FI ;624; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE, S.L.
V61074480;  SABADELL URQUIJO PATRIMONIO PRIVADO , FI ;650; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V61293171;  MEDIOLANUM ACTIVO, FI ;829; 1) MEDIOLANUM GESTION, S.G.I.I.C., S.A.        ;BANCO MEDIOLANUM, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V61329264;  CAIXABANK COMUNICACION MUNDIAL, FI ;923; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL.
V61333258;  FONRADAR INTERNACIONAL, FI ;994; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS Auditores, S.L.
V61378527;  SABADELL ESTADOS UNIDOS BOLSA, FI ;1017; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V61392916;  MEDIOLANUM EUROPA R.V., FI ;1048; 1) MEDIOLANUM GESTION, S.G.I.I.C., S.A.        ;BANCO MEDIOLANUM, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V61443990;  GVCGAESCO FONDO DE FONDOS, FI ;1174; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS, S.L.
V61474987;  GVCGAESCO T.F.T., FI ;1268; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V61518734;  MEDIOLANUM MERCADOS EMERGENTES, FI ;1294; 1) MEDIOLANUM GESTION, S.G.I.I.C., S.A.        ;BANCO MEDIOLANUM, S.A.        ;PricewaterhouseCoopers Auditores, S.L.
V61584496;  GESINTER CHINA INFLUENCE FI ;1387; 1) GESINTER, S.G.I.I.C., S.A.        ;CACEIS BANK SPAIN S.A.        ;VIR AUDIT S.L.P.
V61635637;  CS DIRECTOR BOND FOCUS, FI ;1428; 1) CREDIT SUISSE GESTION, S.G.I.I.C., S.A.        ;CREDIT SUISSE AG, SUCURSAL ENESPAÑA        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V61637401;  FONDGUISSONA GLOBAL BOLSA, FI ;1527; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;DEUTSCHE BANK, SOCIEDAD ANONIMAESPAÑOLA        ;DELOITTE, S.L.
V61637435;  GVC GAESCO EUROPA, FI ;1474; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS, S.L.
V61637443;  FONSGLOBAL RENTA, FI ;1475; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS, S.L.
V61653713;  GESINTER WORLD SELECTION FI ;1560; 1) GESINTER, S.G.I.I.C., S.A.        ;CACEIS BANK SPAIN S.A.        ;VIR AUDIT S.L.P.
V61685194;  NOVAFONDISA, FI ;1508; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V61690376;  CAIXABANK MULTISALUD, FI ;1552; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL.
V61812582;  ROBUST RENTA VARIABLE MIXTA INTERNACIONAL, FI ;1714; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;PRICEWATERHOUSECOOPERS, S.L.
V61914859;  CS FAMILY BUSINESS, FI ;1856; 1) CREDIT SUISSE GESTION, S.G.I.I.C., S.A.        ;CREDIT SUISSE AG, SUCURSAL ENESPAÑA        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V62039862;  CAIXABANK RENTA FIJA ALTA CALIDAD CREDITICIA, FI ;1904; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V62074653;  GVCGAESCO MULTINACIONAL, FI ;1963; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;DELOITTE, S.L.
V62074695;  GVCGAESCO EMERGENTFOND, FI ;1964; 1) GVC GAESCO GESTIÓN, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL EN ESPAÑA;PRICEWATERHOUSECOOPERS, S.L.
V62245691;  SABADELL BONOS EURO, FI ;2133; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V62245709;  SABADELL INTERES EURO, FI ;2132; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V62272828;  SABADELL RENDIMIENTO, FI ;2145; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V62388558;  SABADELL FONDTESORO LARGO PLAZO, FI ;2264; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V62613880;  CAIXABANK BOLSA SELECCION GLOBAL, FI ;2475; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V62614516;  CAIXABANK BOLSA SELECCION USA, FI ;2477; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, S.L.
V62614599;  CAIXABANK BOLSA SELECCION EUROPA, FI ;2476; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V62624093;  INVERSABADELL , FI ;2461; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;PricewaterhouseCoopers Auditores, S.L.
V62624135;  INVERSABADELL , FI ;2460; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V62868500;  BBVA CREDITO EUROPA, FI ;2591; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;KPMG AUDITORES, S.L.
V63030274;  ARQUIA BANCA RF EURO, FI ;2665; 1) ARQUIGEST, S.A., S.G.I.I.C.        ;ARQUIA BANK, S.A.        ;KPMG AUDITORES SL
V63050835;  CAIXABANK MONETARIO RENDIMIENTO, FI ;2680; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V63053854;  GESIURIS PATRIMONIAL, FI ;2670; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V63053888;  GESIURIS EURO EQUITIES, FI ;2671; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V63076483;  CATALANA OCCIDENTE PATRIMONIO, FI ;2689; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE, S.L.
V63076491;  CATALANA OCCIDENTE RENTA FIJA, FI ;2687; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE SA
V63076509;  CATALANA OCCIDENTE BOLSA ESPAÑOLA, FI ;2688; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;CACEIS BANK SPAIN S.A.        ;DELOITTE S.L.
V63104319;  BBVA BONOS SOSTENIBLE ISR, FI ;2705; 1) BBVA ASSET MANAGEMENT, S.A., SGIIC        ;BANCO BILBAO VIZCAYA ARGENTARIA,S.A.        ;DELOITTE, S.L.
V63176333;  GESIURIS BALANCED EURO, FI ;2758; 1) GESIURIS ASSET MANAGEMENT, SGIIC, S.A.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;DELOITTE S.L.
V63193569;  CAJA INGENIEROS PREMIER, FI ;3715; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE & TOUCHE S.A.
V63235683;  EDM INTERNATIONAL EQUITIES FI ;2817; 1) EDM GESTION, SOCIEDAD ANONIMA, S.G.I.I.C.        ;BANCO INVERSIS, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, S.L.
V63294417;  MERCH-OPORTUNIDADES, FI ;2855; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V63484489;  CAJA INGENIEROS BALANCED OPPORTUNITIES, FI ;2940; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE & TOUCHE S.A.
V63576847;  CAJA INGENIEROS EMERGENTES, FI ;2997; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE & TOUCHE, S.A.
V63580427;  DP SELECCION FI ;2996; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V63584478;  SABADELL EUROACCION, FI ;3000; 1) SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.        ;BNP PARIBAS S.A., SUCURSAL ENESPAÑA        ;Deloitte, S.L.
V63606024;  CAJA INGENIEROS BOLSA USA, FI ;3018; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE & TOUCHE, S.A.
V63715221;  CAIXABANK RENTA FIJA CORPORATIVA DURACION CUBIERTA, FI ;3099; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V63738215;  CAIXABANK SELECCION FUTURO SOSTENIBLE, FI ;3120; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;DELOITTE, SL
V63744288;  MERCH-EUROUNION, FI ;3133; 1) ANDBANK WEALTH MANAGEMENT, SGIIC, S.A.U.        ;BANCO INVERSIS, S.A.;DELOITTE, S.L.
V63760946;  CAIXABANK BOLSA DIVIDENDO EUROPA, FI ;3143; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
V63885073;  CAJA INGENIEROS IBERIAN EQUITY, FI ;3231; 1) CAJA INGENIEROS GESTION, S.G.I.I.C., S.A.        ;CAIXA DE CREDIT DELS ENGINYERS-CAJA DE CREDITO DE LOS INGENIEROS,  S. COOP. DE CREDITO        ;DELOITTE & TOUCHE, S.A.
V63946172;  CAIXABANK SELECCION RETORNO ABSOLUTO, FI ;3268; 1) CAIXABANK ASSET MANAGEMENT SGIIC, S.A.        ;CECABANK, S.A.        ;PRICEWATERHOUSECOOPERS AUDITORES, SL
